epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
48,11994.8,1.76888,1.37935,1.63521,1.84134,0.46409,0.43478,0.5036,0.25207,0.46409,0.43478,0.49514,0.14416,1.94091,1.03578,2.03456,1.84503,0.000891345,0.000891345,0.000891345
49,12239.7,1.9141,1.74521,1.79408,1.91813,0.41536,0.6087,0.51426,0.28822,0.57746,0.3913,0.50024,0.15196,1.88282,1.05557,2.24767,1.79965,0.000874842,0.000874842,0.000874842
50,12485.8,1.8573,1.66196,1.68738,1.89272,0.51667,0.47826,0.53758,0.2831,0.51667,0.47826,0.51554,0.15642,1.87237,1.0081,2.23088,1.74956,0.000858338,0.000858338,0.000858338
51,12736.9,1.82797,1.4095,1.59332,1.84026,0.44444,0.6087,0.55197,0.31899,0.44444,0.6087,0.5348,0.12799,1.89293,1.08961,2.20361,1.79262,0.000841835,0.000841835,0.000841835
52,12981.6,1.90562,1.6771,1.63009,1.84246,0.43811,0.47826,0.48341,0.25163,0.43811,0.47826,0.47502,0.13269,2.04338,1.15264,2.08786,1.95429,0.000825332,0.000825332,0.000825332
53,13228,1.7856,1.52371,1.55537,1.79654,0.46791,0.65005,0.54893,0.30788,0.46501,0.64269,0.52012,0.13671,1.79204,1.10992,2.22582,1.73087,0.000808828,0.000808828,0.000808828
54,13476,1.64779,1.34637,1.59148,1.68291,0.48434,0.44967,0.53754,0.29959,0.48434,0.44967,0.52427,0.13857,1.78642,1.08168,1.82422,1.76689,0.000792325,0.000792325,0.000792325
55,13719.5,1.68565,1.5732,1.37778,1.74836,0.4812,0.68579,0.56437,0.34455,0.4812,0.68579,0.56232,0.17154,1.74114,0.9898,2.16203,1.69581,0.000775822,0.000775822,0.000775822
56,13960.9,1.77943,1.36443,1.60039,1.81773,0.49842,0.64818,0.59083,0.34158,0.49842,0.64818,0.58345,0.17968,1.72415,0.95612,2.12935,1.71177,0.000759318,0.000759318,0.000759318
57,14202.1,1.81277,1.50884,1.51011,1.73871,0.43182,0.6087,0.53679,0.31115,0.43182,0.6087,0.52616,0.16953,1.7244,0.99213,1.83735,1.73115,0.000742815,0.000742815,0.000742815
58,14447.2,1.87599,1.48304,1.55569,1.81746,0.51066,0.77158,0.61056,0.32602,0.51066,0.77158,0.60689,0.154,1.71081,0.95018,2.17101,1.58656,0.000726312,0.000726312,0.000726312
59,14688.3,1.87279,1.49086,1.59608,1.858,0.37508,0.47826,0.41726,0.23822,0.37508,0.47826,0.40401,0.12605,1.89114,1.06651,1.99726,1.78834,0.000709809,0.000709809,0.000709809
60,14929.6,1.76341,1.39727,1.48275,1.71697,0.60343,0.73913,0.60472,0.37998,0.60343,0.73913,0.58438,0.15503,1.57549,1.03402,2.07289,1.54804,0.000693305,0.000693305,0.000693305
61,15171.7,1.73153,1.47079,1.592,1.77026,0.79075,0.69565,0.74962,0.51169,0.79075,0.69565,0.73134,0.19627,1.52716,0.98724,1.8236,1.48881,0.000676802,0.000676802,0.000676802
62,15418.6,1.74139,1.78034,1.55972,1.64159,0.592,0.73913,0.63408,0.42603,0.592,0.73913,0.62833,0.19421,1.63225,1.02112,1.97343,1.63935,0.000660299,0.000660299,0.000660299
63,15663.2,1.54389,1.22823,1.34705,1.53785,0.59707,0.64453,0.62184,0.4116,0.59707,0.64453,0.6159,0.19413,1.69898,1.03355,2.33795,1.70445,0.000643795,0.000643795,0.000643795
