epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,8725.04,1.76645,1.12245,1.39822,1.96853,0.55594,0.65217,0.58717,0.34906,0.55594,0.65217,0.55326,0.19225,1.83197,0.95326,2.20223,2.0886,0.000957358,0.000957358,0.000957358
45,8922.34,1.75396,1.16489,1.51869,1.90281,0.48184,0.6087,0.52812,0.30666,0.48184,0.6087,0.47473,0.15116,1.94439,0.96609,1.87286,2.00681,0.000940855,0.000940855,0.000940855
46,9118.71,1.76274,1.13587,1.46737,1.9684,0.47653,0.6087,0.48889,0.27254,0.49266,0.6087,0.44497,0.13421,1.93301,0.99418,1.84903,1.95601,0.000924352,0.000924352,0.000924352
47,9316.03,1.75082,1.17869,1.43856,1.81715,0.42829,0.65217,0.50273,0.31826,0.41091,0.47826,0.46511,0.13545,1.78102,1.02882,2.00586,1.80557,0.000907848,0.000907848,0.000907848
48,9512.55,1.67089,1.14443,1.37543,1.79226,0.39981,0.57953,0.46855,0.28088,0.42126,0.56522,0.42625,0.13688,1.84913,1.01052,2.05424,1.8665,0.000891345,0.000891345,0.000891345
49,9707.92,1.70726,1.14204,1.41307,1.93106,0.47182,0.47826,0.47166,0.30117,0.4424,0.44884,0.44014,0.14168,1.82714,1.009,2.32159,1.84032,0.000874842,0.000874842,0.000874842
50,9907.41,1.71523,1.18703,1.44114,1.85723,0.50755,0.47826,0.50976,0.31883,0.50755,0.47826,0.49058,0.15822,1.70633,0.98938,2.28426,1.76056,0.000858338,0.000858338,0.000858338
51,10103.9,1.62281,1.12428,1.35507,1.7841,0.42932,0.5891,0.5039,0.31805,0.42932,0.5891,0.50023,0.1583,1.72033,1.00478,1.77268,1.81393,0.000841835,0.000841835,0.000841835
52,10299.5,1.65084,1.10301,1.33693,1.79135,0.46187,0.6087,0.50835,0.31485,0.46187,0.6087,0.50838,0.16318,1.78115,0.94534,1.77998,1.88077,0.000825332,0.000825332,0.000825332
53,10496,1.71056,1.17121,1.40411,1.83633,0.37998,0.58651,0.49769,0.3103,0.37998,0.58651,0.49068,0.16944,1.76078,0.88389,2.32961,1.83221,0.000808828,0.000808828,0.000808828
54,10696.7,1.65537,1.26568,1.44198,1.79487,0.40867,0.47826,0.49635,0.28405,0.40867,0.47826,0.47508,0.16876,1.81793,0.88557,2.539,1.90789,0.000792325,0.000792325,0.000792325
55,10893.1,1.7015,1.23688,1.3515,1.86761,0.4051,0.6087,0.4871,0.25181,0.37264,0.56522,0.45291,0.14427,1.87455,1.04337,2.9772,1.98941,0.000775822,0.000775822,0.000775822
56,11088.8,1.58827,1.14098,1.28955,1.73653,0.40172,0.52174,0.494,0.24715,0.40172,0.52174,0.46611,0.16114,1.96528,1.04409,2.64924,2.07932,0.000759318,0.000759318,0.000759318
57,11286.1,1.63851,1.14917,1.26003,1.78138,0.35617,0.56522,0.5048,0.26946,0.39602,0.56522,0.48049,0.18106,1.88105,0.9655,3.02442,2.04754,0.000742815,0.000742815,0.000742815
58,11480.1,1.58928,1.16901,1.25302,1.78962,0.63089,0.3913,0.50794,0.28896,0.63089,0.3913,0.49161,0.18114,1.89663,0.9439,2.58682,2.06235,0.000726312,0.000726312,0.000726312
59,11697.5,1.58399,1.12215,1.29993,1.76624,0.42018,0.56522,0.53689,0.26218,0.56641,0.45496,0.49674,0.14309,1.92137,0.98915,2.71232,2.11392,0.000709809,0.000709809,0.000709809
60,11892.7,1.63495,1.18514,1.2739,1.75685,0.54372,0.65217,0.59407,0.31508,0.53314,0.65217,0.55796,0.17235,1.79737,0.99153,2.21412,1.9035,0.000693305,0.000693305,0.000693305
61,12087.4,1.5453,1.06684,1.22527,1.83444,0.57226,0.64018,0.57233,0.35458,0.57226,0.64018,0.55046,0.15896,1.70133,1.02668,2.15225,1.86443,0.000676802,0.000676802,0.000676802
62,12283.7,1.62622,1.14811,1.33785,1.80325,0.44012,0.65217,0.56517,0.36881,0.44012,0.65217,0.54287,0.18036,1.68269,0.95762,1.99282,1.85412,0.000660299,0.000660299,0.000660299
63,12479.7,1.65378,1.13368,1.30485,1.84735,0.40626,0.69565,0.5244,0.33807,0.40626,0.69565,0.49812,0.17105,1.66297,0.96212,2.03573,1.83721,0.000643795,0.000643795,0.000643795
64,12679.6,1.52889,1.15808,1.23262,1.71607,0.41637,0.68265,0.55797,0.3208,0.41637,0.68265,0.51514,0.16691,1.75382,0.99126,1.98693,1.79305,0.000627292,0.000627292,0.000627292
65,12877.6,1.56658,1.06329,1.15868,1.74829,0.45533,0.73913,0.6214,0.31474,0.45533,0.73913,0.5804,0.16961,1.8366,1.03717,2.45333,1.9265,0.000610789,0.000610789,0.000610789
66,13075.4,1.74684,1.1997,1.31021,1.85613,0.47191,0.6087,0.60843,0.35645,0.4294,0.72011,0.57046,0.18569,1.74268,1.07892,2.40787,1.85565,0.000594286,0.000594286,0.000594286
67,13269.8,1.7335,1.23205,1.29127,1.85799,0.70027,0.52174,0.63541,0.41192,0.72837,0.47826,0.57207,0.21029,1.65371,0.95899,1.82994,1.73734,0.000577782,0.000577782,0.000577782
68,13469.1,1.66592,1.10679,1.2741,1.80893,0.55019,0.47866,0.59578,0.34121,0.55019,0.47866,0.53122,0.18956,1.7798,0.9434,2.05398,1.81837,0.000561279,0.000561279,0.000561279
69,13664.3,1.52713,1.07002,1.2167,1.79275,0.73966,0.56522,0.64143,0.35816,0.73966,0.56522,0.57063,0.18542,1.84219,0.96243,1.73955,1.80534,0.000544776,0.000544776,0.000544776
70,13858.6,1.62197,1.20129,1.27542,1.77053,0.60273,0.59411,0.58616,0.33833,0.60273,0.59411,0.54877,0.16175,1.91973,1.0168,1.86581,1.83471,0.000528272,0.000528272,0.000528272
