epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,7916.41,2.19948,1.34242,2.08735,2.39607,0.5892,0.65217,0.58128,0.17792,0.54992,0.6087,0.52806,0.0781,2.34818,1.03375,3.82076,2.26991,0.00102337,0.00102337,0.00102337
41,8112.51,2.25065,1.39091,2.1012,2.38024,0.47019,0.6087,0.51252,0.21944,0.44545,0.52174,0.45852,0.07483,2.43986,1.09814,3.19995,2.34571,0.00100687,0.00100687,0.00100687
42,8309.55,2.10507,1.24493,1.93623,2.25966,0.45923,0.3913,0.43359,0.16839,0.36093,0.30435,0.34208,0.07968,2.5616,1.10996,3.36609,2.42555,0.000990365,0.000990365,0.000990365
43,8503.44,2.14012,1.26732,1.90505,2.23738,0.37428,0.26087,0.23864,0.1028,0.37428,0.26087,0.22712,0.06839,2.63726,1.0548,3.21969,2.39658,0.000973861,0.000973861,0.000973861
44,8739.79,2.08096,1.20054,1.7791,2.22274,0.45553,0.56522,0.38434,0.18791,0.49174,0.6087,0.38567,0.08589,2.46392,1.03054,2.49815,2.36711,0.000957358,0.000957358,0.000957358
45,8999.95,2.1208,1.30271,1.88979,2.19516,0.2565,0.34783,0.25721,0.13609,0.2565,0.34783,0.23741,0.05273,2.6006,1.01228,2.13461,2.44073,0.000940855,0.000940855,0.000940855
46,9307.01,2.19833,1.26409,1.79155,2.28052,0.42321,0.54269,0.45586,0.16943,0.4491,0.56717,0.48655,0.08241,2.59159,1.002,3.69198,2.44489,0.000924352,0.000924352,0.000924352
47,9597.61,2.0757,1.25126,1.90405,2.19167,0.30276,0.56522,0.45627,0.18121,0.27947,0.52174,0.45214,0.09482,2.60079,1.10461,5.45746,2.52671,0.000907848,0.000907848,0.000907848
48,9849.85,2.04918,1.24269,1.69029,2.21608,0.347,0.25449,0.28065,0.11752,0.347,0.25449,0.27239,0.07494,2.76157,1.14591,3.58631,2.66149,0.000891345,0.000891345,0.000891345
49,10105.3,2.22513,1.30854,1.73298,2.2991,0.52355,0.26087,0.33414,0.15735,0.52355,0.26087,0.33668,0.09801,2.60233,1.02578,2.95761,2.58651,0.000874842,0.000874842,0.000874842
50,10355.6,2.13779,1.22551,1.80069,2.24648,0.31801,0.43478,0.38012,0.18111,0.31801,0.43478,0.37283,0.11492,2.3779,0.96525,4.44307,2.47364,0.000858338,0.000858338,0.000858338
51,10604.1,2.09682,1.2469,1.82512,2.1404,0.27419,0.34783,0.27244,0.16876,0.30443,0.3913,0.29882,0.10348,2.45114,1.01238,3.35282,2.46113,0.000841835,0.000841835,0.000841835
52,10855,2.03337,1.29585,1.86454,2.16255,0.48608,0.13043,0.12069,0.06765,0.48608,0.13043,0.12218,0.04228,2.7301,1.07071,3.57329,2.49828,0.000825332,0.000825332,0.000825332
53,11109.4,2.07899,1.26786,1.83764,2.14352,0.06189,0.04348,0.01552,0.00685,0.20308,0.04348,0.02492,0.00651,2.79045,1.08654,4.68945,2.61176,0.000808828,0.000808828,0.000808828
54,11357.9,2.13315,1.32224,1.8581,2.22666,0.39327,0.17391,0.17187,0.11331,0.39327,0.17391,0.17014,0.06582,2.62538,1.04732,3.65385,2.394,0.000792325,0.000792325,0.000792325
55,11606.3,2.11327,1.36049,1.83945,2.20127,0.35287,0.52174,0.38311,0.2145,0.37238,0.6087,0.41484,0.10814,2.33153,1.0364,3.19412,2.30597,0.000775822,0.000775822,0.000775822
56,11854,2.02081,1.1936,1.83168,2.08024,0.39317,0.43478,0.41073,0.21312,0.42502,0.56522,0.42861,0.10531,2.31246,1.112,2.0056,2.25761,0.000759318,0.000759318,0.000759318
57,12106,2.05357,1.17371,1.68828,2.16126,0.52041,0.3913,0.3898,0.2053,0.52041,0.3913,0.41386,0.10203,2.31008,1.09496,2.0102,2.2555,0.000742815,0.000742815,0.000742815
58,12324,2.07936,1.30508,1.66379,2.23829,0.49585,0.47826,0.44641,0.21633,0.51676,0.6087,0.50697,0.13209,2.31766,0.96077,2.32462,2.24766,0.000726312,0.000726312,0.000726312
59,12518.4,2.01656,1.22224,1.74041,2.12328,0.24034,0.56522,0.36667,0.15818,0.25802,0.56522,0.36728,0.09974,2.45094,0.93995,7.97066,2.36905,0.000709809,0.000709809,0.000709809
60,12713.7,1.96433,1.23564,1.64975,2.1251,0.26644,0.50557,0.34661,0.14739,0.2069,0.52174,0.35093,0.10008,2.4106,0.99352,8.61204,2.33201,0.000693305,0.000693305,0.000693305
61,12914.2,1.93941,1.19212,1.58576,2.11659,0.27121,0.43478,0.33555,0.15607,0.27121,0.43478,0.31573,0.09126,2.45768,1.05777,3.61495,2.27451,0.000676802,0.000676802,0.000676802
62,13110.2,2.10084,1.21647,1.66758,2.18728,0.39223,0.30887,0.30061,0.09426,0.44838,0.34783,0.37708,0.08603,2.55826,1.03266,3.1904,2.37977,0.000660299,0.000660299,0.000660299
63,13310.3,1.99071,1.28266,1.60344,2.13263,0.42105,0.41155,0.2881,0.09088,0.46132,0.4472,0.3845,0.08956,2.54409,0.95577,3.73068,2.39339,0.000643795,0.000643795,0.000643795
64,13514.8,2.18334,1.26748,1.65,2.25907,0.4872,0.53739,0.48395,0.19599,0.4872,0.53739,0.47285,0.12612,2.38864,0.97186,3.55593,2.24345,0.000627292,0.000627292,0.000627292
65,13716.2,2.01184,1.09549,1.51542,2.18981,0.45388,0.65047,0.54166,0.23333,0.45388,0.65047,0.52819,0.12731,2.26083,1.03004,4.89363,2.2264,0.000610789,0.000610789,0.000610789
66,13925.1,1.92931,1.2954,1.68468,2.07163,0.45232,0.6087,0.53302,0.24286,0.45232,0.6087,0.52506,0.1231,2.1897,1.09765,4.10265,2.17088,0.000594286,0.000594286,0.000594286
67,14129.2,1.93455,1.25178,1.54639,2.11907,0.55356,0.56522,0.58133,0.25868,0.55356,0.56522,0.56605,0.14339,2.15143,1.03808,2.76188,2.10634,0.000577782,0.000577782,0.000577782
68,14347.9,1.98897,1.27397,1.55189,2.1397,0.49837,0.65217,0.50811,0.22839,0.49837,0.65217,0.50057,0.12425,2.11233,0.9896,4.03288,2.07268,0.000561279,0.000561279,0.000561279
69,14601.1,1.87232,1.17823,1.57611,2.07799,0.45185,0.56522,0.52678,0.24678,0.47572,0.6087,0.54011,0.13371,2.09471,0.97847,5.64199,2.07991,0.000544776,0.000544776,0.000544776
70,14859.3,2.0146,1.29247,1.69697,2.17532,0.33157,0.6087,0.51953,0.26021,0.378,0.69565,0.55607,0.14818,2.07265,0.99554,7.39911,2.14109,0.000528272,0.000528272,0.000528272
71,15109.2,1.86974,1.24245,1.59822,2.02746,0.35992,0.56522,0.50264,0.25577,0.41424,0.65217,0.53101,0.165,2.24324,1.02563,5.37777,2.20391,0.000511769,0.000511769,0.000511769
72,15358.5,1.87956,1.12593,1.55863,2.09421,0.3476,0.56522,0.49486,0.24568,0.40108,0.65217,0.53668,0.17048,2.26496,1.00016,6.18889,2.25508,0.000495266,0.000495266,0.000495266
73,15610.4,1.80212,1.13477,1.44716,1.92509,0.27492,0.56522,0.51093,0.24864,0.35951,0.73913,0.59523,0.1714,2.22351,1.00522,8.38855,2.28981,0.000478762,0.000478762,0.000478762
74,15858.2,1.76221,1.16823,1.44065,1.93181,0.39104,0.56522,0.48161,0.23476,0.4724,0.69565,0.57073,0.17212,2.22917,0.97775,5.79927,2.21035,0.000462259,0.000462259,0.000462259
75,16107.3,1.93726,1.10737,1.43543,2.17916,0.53737,0.52174,0.52111,0.24766,0.5537,0.69565,0.60392,0.17592,2.26339,0.97163,2.83757,2.12943,0.000445756,0.000445756,0.000445756
76,16356.6,1.90264,1.2079,1.47332,2.07883,0.6121,0.56522,0.58547,0.29706,0.66678,0.6087,0.63239,0.17786,2.21574,1.02835,2.40382,2.06252,0.000429253,0.000429253,0.000429253
77,16612.2,1.87927,1.25945,1.45109,2.10131,0.57017,0.30435,0.3991,0.22696,0.34546,0.65217,0.4367,0.14772,2.46043,1.12522,2.7984,2.15087,0.000412749,0.000412749,0.000412749
78,16858.8,1.92482,1.20288,1.41314,2.13988,0.48469,0.30435,0.37073,0.24589,0.26924,0.6087,0.41213,0.1563,2.55356,1.08928,3.24198,2.2994,0.000396246,0.000396246,0.000396246
79,17108.9,1.81648,1.13769,1.41653,2.0251,0.3208,0.56522,0.49897,0.25339,0.3986,0.43478,0.48293,0.17646,2.13461,0.96577,4.17413,2.10177,0.000379743,0.000379743,0.000379743
