epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,5794.88,2.94442,2.49377,2.99243,2.74721,0.0048,0.16667,0.01486,0.00283,0,0,0,0,2.53923,9.18646,3.6626,1.77349,0.00130393,0.00130393,0.00130393
46,5918.1,2.53632,2.21156,2.9183,2.59126,0.0048,0.16667,0.01486,0.00283,0,0,0,0,2.53923,9.18646,3.6626,1.77349,0.00129568,0.00129568,0.00129568
47,6039.35,2.56715,2.25514,3.05393,2.49828,0.00267,0.66667,0.07473,0.01673,0,0,0,0,2.42127,2.53805,3.90509,1.6697,0.00128742,0.00128742,0.00128742
48,6160.73,2.57685,2.40851,3.10999,2.60335,0.00267,0.66667,0.07473,0.01673,0,0,0,0,2.42127,2.53805,3.90509,1.6697,0.00127917,0.00127917,0.00127917
49,6278.28,2.72183,2.31158,3.03924,2.59303,0.002,0.5,0.01892,0.00319,0,0,0,0,3.47679,2.57572,6.76604,2.47047,0.00127092,0.00127092,0.00127092
50,6387.07,2.73343,2.36347,3.13787,2.67122,0.00267,0.66667,0.01851,0.00226,0,0,0,0,3.78669,1.94055,3.64288,2.85856,0.00126267,0.00126267,0.00126267
51,6505.2,2.74679,2.33407,3.00212,2.6788,0.00267,0.66667,0.01851,0.00226,0,0,0,0,3.78669,1.94055,3.64288,2.85856,0.00125442,0.00125442,0.00125442
52,6624.71,2.93984,2.56469,3.03482,2.80289,0.00267,0.66667,0.01325,0.00189,0,0,0,0,3.72316,1.81065,3.71876,3.01079,0.00124617,0.00124617,0.00124617
53,6743.58,2.57804,2.25046,3.06542,2.51519,0.004,1,0.01366,0.00282,0,0,0,0,3.54894,1.92181,3.39125,2.67654,0.00123791,0.00123791,0.00123791
54,6869.03,2.62384,2.37897,3.0469,2.57623,0.004,1,0.01366,0.00282,0,0,0,0,3.54894,1.92181,3.39125,2.67654,0.00122966,0.00122966,0.00122966
55,6988.31,2.72546,2.45381,2.9218,2.68232,0.004,1,0.03128,0.00616,0,0,0,0,3.35695,1.8557,3.65767,2.29207,0.00122141,0.00122141,0.00122141
56,7112.26,2.86839,2.43255,2.94855,2.70963,0.004,1,0.03128,0.00616,0,0,0,0,3.35695,1.8557,3.65767,2.29207,0.00121316,0.00121316,0.00121316
57,47987.4,2.58572,2.5257,3.14513,2.62547,0.004,1,0.02032,0.00438,0.00067,0.16667,0.00052,0.0001,3.18743,1.88363,4.17591,2.13331,0.00120491,0.00120491,0.00120491
58,48161.4,2.61233,2.3071,2.91667,2.51669,0.00427,1,0.03057,0.00648,0,0,0,0,3.12241,1.87125,3.56528,2.11597,0.00119666,0.00119666,0.00119666
59,48345.7,2.53255,2.23761,2.94116,2.51332,0.00427,1,0.03057,0.00648,0,0,0,0,3.12241,1.87125,3.56528,2.11597,0.0011884,0.0011884,0.0011884
60,48460.4,2.77075,2.43746,2.95344,2.61271,0.3217,0.33333,0.19376,0.05626,0,0,0,0,3.2468,2.06813,3.63828,2.41316,0.00118015,0.00118015,0.00118015
61,48571,2.40245,2.04365,2.90311,2.53461,0.00081,0.16667,0.02784,0.01114,0,0,0,0,4.0982,16.6644,3.83531,3.25335,0.0011719,0.0011719,0.0011719
62,48679.8,2.52821,2.1043,2.84485,2.62297,0.00081,0.16667,0.02784,0.01114,0,0,0,0,4.0982,16.6644,3.83531,3.25335,0.00116365,0.00116365,0.00116365
63,48803.7,2.87963,2.46695,2.97919,2.76109,0.00079,0.16667,0.00071,0.00014,0,0,0,0,4.42094,6.88785,4.35899,3.74176,0.0011554,0.0011554,0.0011554
64,48911.1,2.71264,2.35326,2.89241,2.61635,0.00079,0.16667,0.00071,0.00014,0,0,0,0,4.42094,6.88785,4.35899,3.74176,0.00114715,0.00114715,0.00114715
65,49022.3,2.75796,2.40349,3.03455,2.6411,0.00067,0.16667,0.0005,0.00015,0,0,0,0,4.34658,3.02991,8.39379,3.51388,0.00113889,0.00113889,0.00113889
66,49129.1,2.56081,2.17944,2.85894,2.5156,0.00067,0.16667,0.00116,0.00023,0,0,0,0,4.36242,2.10164,11.0424,3.24888,0.00113064,0.00113064,0.00113064
67,49235.9,2.61382,2.26927,2.86893,2.3892,0.00067,0.16667,0.00116,0.00023,0,0,0,0,4.36242,2.10164,11.0424,3.24888,0.00112239,0.00112239,0.00112239
68,49338.7,2.62654,2.15477,2.82375,2.60577,0.01955,0.5,0.26037,0.04259,0,0,0,0,3.73285,1.88115,4.50454,2.94398,0.00111414,0.00111414,0.00111414
69,49441.6,2.50812,1.96116,2.89317,2.56232,0.03263,0.5,0.07797,0.01412,0,0,0,0,3.57292,1.69586,4.48563,2.8723,0.00110589,0.00110589,0.00110589
70,49545.7,2.60838,2.23616,2.84877,2.51315,0.03263,0.5,0.07797,0.01412,0,0,0,0,3.57292,1.69586,4.48563,2.8723,0.00109764,0.00109764,0.00109764
71,49649.8,2.47663,2.02554,2.78124,2.47424,0.15716,0.16667,0.18214,0.03875,0.00067,0.16667,0.00086,9e-05,3.52813,1.63298,5.22017,2.94883,0.00108938,0.00108938,0.00108938
